courseId,courseName,courseCode,tournamentId,courseParTotal,courseYardsTotal,hole,par,yards,scoringAverage,scoringAverageDiff,scoringDiffTendency,eagles,birdies,pars,bogeys,doubleBogey,rank,pinGreenLeftToRightCoords,pinGreenBottomToTopCoords
241,Quail Hollow Club,QH,R2025033,71,7626.0,14,4,344,3.712,-0.288,BELOW,10,175,218,50,5,16,"(0.6264597787690013, 0.49643621561791534, -1.0)","(0.49643621561791534, 0.3735402212309987, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,15,5,577,4.619,-0.381,BELOW,16,191,213,34,2,18,"(0.6227617687617432, 0.5490038535506175, -1.0)","(0.5490038535506175, 0.37723823123825684, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,16,4,529,4.327,0.327,ABOVE,0,26,273,144,16,3,"(0.37706301610292, 0.3041358706005281, -1.0)","(0.3041358706005281, 0.62293698389708, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,17,3,223,3.394,0.394,ABOVE,0,33,251,141,30,2,"(0.5687242863051591, 0.3701010852758007, -1.0)","(0.3701010852758007, 0.43127571369484086, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,18,4,494,4.41,0.41,ABOVE,0,43,235,133,46,1,"(0.6191605523676573, 0.3158843411469664, -1.0)","(0.3158843411469664, 0.3808394476323427, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,1,4,490,4.16,0.16,ABOVE,0,28,164,61,4,7,"(0.4641813732884166, 0.5636246747581858, -1.0)","(0.5636246747581858, 0.5358186267115834, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,2,4,459,4.093,0.093,ABOVE,0,33,175,42,6,10,"(0.48509470893887857, 0.6611902619085956, -1.0)","(0.6611902619085956, 0.5149052910611214, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,3,4,392,4.058,0.058,ABOVE,1,54,146,45,8,12,"(0.6621014651996046, 0.6184658168252808, -1.0)","(0.6184658168252808, 0.33789853480039544, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,4,3,210,3.187,0.187,ABOVE,0,23,167,63,4,6,"(0.5787032091027106, 0.3690009956641048, -1.0)","(0.3690009956641048, 0.42129679089728944, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,5,5,547,4.856,-0.144,BELOW,2,75,145,29,5,16,"(0.4678530082237419, 0.3547174353023804, -1.0)","(0.3547174353023804, 0.5321469917762581, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,6,4,455,4.233,0.233,ABOVE,0,27,159,56,14,4,"(0.5334683938706947, 0.2769456217833176, -1.0)","(0.2769456217833176, 0.46653160612930533, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,7,5,582,4.809,-0.191,BELOW,5,79,140,26,7,17,"(0.49553047454840743, 0.624724606581866, -1.0)","(0.624724606581866, 0.5044695254515925, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,8,3,200,3.074,0.074,ABOVE,0,42,158,53,4,11,"(0.6913836704924216, 0.6114379645500534, -1.0)","(0.6114379645500534, 0.30861632950757845, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,9,4,417,4.097,0.097,ABOVE,0,39,167,40,9,9,"(0.3600075408788736, 0.6009826141496316, -1.0)","(0.6009826141496316, 0.6399924591211263, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,10,4,472,4.323,0.323,ABOVE,0,15,158,71,12,1,"(0.4686780367176747, 0.5760984258364364, -1.0)","(0.5760984258364364, 0.5313219632823253, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,11,5,588,5.004,0.004,ABOVE,1,64,139,42,9,14,"(0.5156720874347218, 0.3066873473838766, -1.0)","(0.3066873473838766, 0.4843279125652782, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,12,3,180,3.319,0.319,ABOVE,0,29,147,56,21,2,"(0.6118723560567809, 0.7730938228520613, -1.0)","(0.7730938228520613, 0.3881276439432191, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,13,4,455,4.031,0.031,ABOVE,0,42,166,48,1,13,"(0.47271401776887495, 0.3544288384207172, -1.0)","(0.3544288384207172, 0.5272859822311251, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,14,4,360,3.922,-0.078,BELOW,1,69,143,39,3,15,"(0.6874320890225561, 0.7712610247048717, -1.0)","(0.7712610247048717, 0.31256791097744385, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,15,5,561,4.661,-0.339,BELOW,6,111,112,21,6,18,"(0.3714388364051132, 0.3695646521270016, -1.0)","(0.3695646521270016, 0.6285611635948868, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,16,3,218,3.117,0.117,ABOVE,0,39,160,48,9,8,"(0.5580494958264478, 0.2752074935438868, -1.0)","(0.2752074935438868, 0.4419505041735522, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,17,4,503,4.241,0.241,ABOVE,0,26,156,64,9,3,"(0.47975310911037033, 0.3384221780453633, -1.0)","(0.3384221780453633, 0.5202468908896296, -1.0)"
023,Muirfield Village Golf Club,MV,R2025023,72,7569.0,18,4,480,4.195,0.195,ABOVE,0,35,148,65,7,5,"(0.5475945140835659, 0.2608120424032827, -1.0)","(0.2608120424032827, 0.45240548591643415, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,1,4,515,4.434,0.434,ABOVE,0,38,227,139,36,1,"(0.6554092925998116, 0.5500954830489497, -1.0)","(0.5500954830489497, 0.3445907074001884, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,2,4,395,3.931,-0.069,BELOW,1,93,293,56,4,14,"(0.5384828764814538, 0.27653406211519466, -1.0)","(0.27653406211519466, 0.46151712351854624, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,3,4,487,4.192,0.192,ABOVE,0,54,275,97,20,6,"(0.6116983285883786, 0.6784746332898217, -1.0)","(0.6784746332898217, 0.3883016714116214, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,4,4,358,4.034,0.034,ABOVE,2,73,294,65,12,11,"(0.3791740534629101, 0.40156634172879757, -1.0)","(0.40156634172879757, 0.6208259465370899, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,5,4,430,4.125,0.125,ABOVE,0,55,293,89,8,8,"(0.5831821175207195, 0.7590147995273046, -1.0)","(0.7590147995273046, 0.41681788247928053, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,6,3,233,3.32,0.32,ABOVE,0,17,284,133,12,2,"(0.5065123113616752, 0.25462951836244185, -1.0)","(0.25462951836244185, 0.4934876886383248, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,7,5,555,4.77,-0.23,BELOW,14,163,201,54,11,17,"(0.449083505831128, 0.6648132514629802, -1.0)","(0.6648132514629802, 0.550916494168872, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,8,4,344,3.85,-0.15,BELOW,3,133,248,54,9,16,"(0.48005252035933116, 0.2508556726378953, -1.0)","(0.2508556726378953, 0.5199474796406689, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,9,3,162,3.043,0.043,ABOVE,0,53,324,68,2,10,"(0.4379981443900362, 0.7484653334707726, -1.0)","(0.7484653334707726, 0.5620018556099637, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,10,5,565,4.537,-0.463,BELOW,11,214,199,17,6,18,"(0.43224219556980126, 0.3001631364261626, -1.0)","(0.3001631364261626, 0.5677578044301987, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,11,4,486,4.273,0.273,ABOVE,0,36,265,134,12,4,"(0.6374442740848255, 0.5461846386250587, -1.0)","(0.5461846386250587, 0.3625557259151745, -1.0)"
