tournament,tournament_id,player,player_id,round,hole,shot_number,shot_dist,to_hole,location,par,hole_yardage
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,5,2,185 yds,54 ft 9 in.,Right Rough,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,5,3,24 ft 8 in.,30 ft 1 in.,Right Rough,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,5,4,17 ft 5 in.,12 ft 9 in.,Right Green,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,5,5,13 ft 7 in.,9 in,Right Green,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,5,6,9 in,0,In Hole,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,6,1,264 yds,146 yds,Left Fairway,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,6,2,147 yds,52 ft 10 in.,Left Rough,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,6,3,68 ft 6 in.,16 ft 2 in.,Left Green,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,6,4,17 ft 4 in.,12 in,Left Green,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,6,5,12 in,0,In Hole,4,413
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,7,1,301 yds,141 yds,Right Rough,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,7,2,144 yds,74 ft 9 in.,Left Rough,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,7,3,49 ft 0 in.,31 ft 4 in.,Left Green,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,7,4,31 ft 7 in.,1 in,Right Green,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,7,5,1 in,0,In Hole,4,450
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,8,1,240 yds,41 ft 5 in.,Left Rough,3,236
